1; 3; -2; 0; 1; 
1; 3; 1; 1; 1540917533102; 
1; 3; 1; 1; 1540917533178; 
1; 3; 1; 1; 1540917533243; 
1; 3; 1; 1; 1540917533515; 
1; 3; 1; 1; 1540917533722; 
1; 3; 1; 1; 1540917533797; 
1; 3; 1; 1; 1540917533918; 
1; 3; 1; 1; 1540917534232; 
1; 1; 4; 3; 1540917534353; 
1; 4; 2; 4; 1540917534363; 
1; 3; 1; 1; 1540917534632; 
1; 3; 1; 1; 1540917534718; 
1; 1; 4; 3; 1540917534772; 
1; 4; 2; 4; 1540917534968; 
1; 3; 1; 1; 1540917535155; 
1; 1; 4; 3; 1540917535220; 
1; 3; 1; 1; 1540917535253; 
1; 3; 1; 1; 1540917535743; 
1; 3; 1; 1; 1540917535894; 
1; 3; 1; 1; 1540917536023; 
1; 3; 1; 1; 1540917536185; 
1; 3; 1; 1; 1540917536195; 
1; 1; 4; 3; 1540917536206; 
1; 3; 1; 1; 1540917536480; 
1; 1; 4; 3; 1540917536578; 
1; 4; 2; 4; 1540917536675; 
1; 2; 3; 6; 1540917536719; 
1; 3; 1; 1; 1540917536946; 
1; 3; 1; 1; 1540917537096; 
1; 3; 1; 1; 1540917537282; 
1; 3; 1; 1; 1540917537836; 
1; 3; 1; 1; 1540917537955; 
1; 1; 4; 3; 1540917537988; 
1; 3; 1; 1; 1540917538075; 
1; 3; 1; 1; 1540917538107; 
1; 1; 4; 3; 1540917538118; 
1; 4; 2; 4; 1540917538282; 
1; 3; 1; 1; 1540917538324; 
1; 3; 1; 1; 1540917538476; 
1; 1; 4; 3; 1540917538487; 
1; 3; 1; 1; 1540917538912; 
1; 1; 4; 3; 1540917538966; 
1; 3; 1; 1; 1540917538988; 
1; 1; 4; 3; 1540917539052; 
1; 3; 1; 1; 1540917539258; 
1; 3; 1; 1; 1540917539608; 
1; 1; 4; 3; 1540917539683; 
1; 3; 1; 1; 1540917539715; 
1; 1; 4; 3; 1540917539737; 
1; 4; 2; 4; 1540917539791; 
1; 2; 1; 5; 1540917539802; 
1; 1; 4; 3; 1540917539999; 
1; 4; 2; 4; 1540917540042; 
1; 2; 1; 1; 1540917540128; 
1; 1; 4; 3; 1540917540150; 
1; 3; 1; 1; 1540917540706; 
1; 3; 1; 1; 1540917540761; 
1; 1; 4; 3; 1540917540848; 
1; 3; 1; 1; 1540917541522; 
1; 3; 1; 1; 1540917541555; 
1; 3; 1; 1; 1540917542177; 
1; 3; 1; 1; 1540917542601; 
1; 3; 1; 1; 1540917542816; 
1; 3; 1; 1; 1540917542837; 
1; 1; 4; 3; 1540917542869; 
1; 4; 2; 4; 1540917542912; 
1; 2; 1; 5; 1540917543001; 
1; 1; 4; 3; 1540917543034; 
1; 4; 2; 4; 1540917543045; 
1; 3; 1; 1; 1540917543260; 
1; 1; 4; 3; 1540917543326; 
1; 3; 1; 1; 1540917543421; 
1; 1; 4; 3; 1540917543519; 
1; 3; 1; 1; 1540917543574; 
1; 1; 4; 3; 1540917543607; 
1; 4; 2; 4; 1540917543695; 
1; 2; 1; 1; 1540917543750; 
